Latitude,Longitude,Year,Month,Day,Temperature,Temp_MAX,Temp_MIN,Dew,Wind speed,Wind speed_MAX,Wind speed_MIN,Wind direction,Relative humidity,specfic humidity, Surface Pressure,Fire
29.42,79.09,2019,3,6,13.01,20.3,7.81,4.38,2.28,4.82,0.74,158.88,58.06,5.86,89.07,0
29.42,79.09,2019,3,4,13.01,20.69,6.69,5.48,2.47,4.16,0.42,174.31,64.25,6.41,88.92,0
29.37,79.02,2020,2,9,13.08,21.87,7.04,0.83,2.56,3.5,1.03,159.44,46.06,4.27,96.11,0
29.76,78.68,2020,2,17,13.1,20.15,8.51,-2.86,2.26,5.19,0.37,158.88,34.44,3.54,87.75,0
29.76,78.68,2021,1,10,13.13,22.15,8.45,-1.74,1.79,3.45,0.69,179.81,40.31,4.09,87.51,0
29.76,78.68,2020,2,29,13.16,20.33,8.87,7.89,2.02,4.12,0.28,114.19,72.38,7.63,87.59,0
29.37,79.02,2020,2,10,13.19,21.13,8.23,1.27,2.48,3.54,1.75,182.5,46.56,4.39,95.9,1
29.37,79.02,2021,1,15,13.19,21.12,8.82,-1.24,2.12,2.78,0.43,162.62,39.0,3.66,95.39,0
29.42,79.09,2020,2,19,13.19,20.66,7.94,1.58,2.52,3.5,1.77,97.88,47.62,4.82,89.55,0
29.76,78.68,2021,1,2,13.19,20.38,8.3,-3.4,1.61,4.59,0.32,111.56,33.25,3.6,87.75,0
29.76,78.68,2020,3,2,13.19,19.93,7.76,4.65,2.38,4.38,1.11,175.44,58.56,6.16,87.47,0
29.76,78.68,2020,3,16,13.19,20.18,7.1,4.87,2.01,3.88,0.42,192.06,59.69,6.29,87.66,0
29.76,78.68,2020,3,1,13.22,20.0,6.9,6.01,2.14,3.29,0.63,177.44,65.0,6.77,87.51,0
29.42,79.09,2020,3,14,13.23,19.04,7.62,7.3,2.15,2.97,0.74,109.62,70.0,7.2,89.51,0
29.76,78.68,2020,3,10,13.23,19.99,7.81,3.63,2.35,4.34,0.15,139.06,54.06,5.74,87.38,0
29.4,78.92,2021,1,20,13.26,23.05,7.42,1.27,3.49,7.7,1.91,226.0,48.31,4.39,95.27,1
29.42,79.09,2021,1,18,13.26,22.08,7.15,-3.02,2.14,3.52,1.38,148.81,34.06,3.48,89.52,0
29.76,78.68,2019,3,10,13.28,21.08,6.58,1.41,2.59,4.71,0.44,140.25,47.06,4.88,87.51,0
29.42,79.09,2021,1,23,13.3,20.84,8.87,-3.51,1.95,4.21,0.72,113.38,33.06,3.3,89.29,0
29.76,78.68,2021,2,19,13.3,20.65,7.74,0.62,2.41,5.62,0.38,157.94,44.25,4.58,87.85,0
29.76,78.68,2021,2,17,13.32,20.74,7.88,-1.38,2.22,3.82,0.3,150.56,38.31,3.97,87.49,0
29.76,78.68,2020,2,18,13.33,20.71,7.47,-1.95,2.14,5.43,0.14,172.0,36.12,3.85,87.55,0
29.42,79.09,2020,2,17,13.34,22.3,7.88,-1.49,2.75,4.59,1.56,256.81,38.81,3.85,89.59,0
29.37,79.02,2021,1,11,13.38,21.84,8.4,1.83,2.97,4.69,2.22,315.06,49.25,4.7,95.47,0
29.37,79.02,2021,1,17,13.4,21.15,7.24,-2.86,2.76,4.17,0.93,111.56,33.81,3.23,95.56,0
29.42,79.09,2020,2,24,13.42,18.77,8.44,7.9,1.71,2.8,0.84,101.94,70.62,7.51,89.42,0
29.42,79.09,2019,3,7,13.43,20.46,8.51,3.8,2.45,5.09,0.45,154.38,54.19,5.62,89.18,0
29.76,78.68,2019,3,15,13.44,20.87,7.12,5.01,2.5,4.02,1.38,147.38,61.56,6.23,87.79,0
29.42,79.09,2021,1,19,13.45,21.4,8.54,1.0,2.59,4.95,1.62,238.12,44.5,4.64,89.21,1
29.37,79.02,2021,1,25,13.45,21.67,8.58,0.69,2.21,3.09,0.59,159.69,43.94,4.21,95.68,0
29.37,79.02,2021,1,28,13.48,21.79,8.38,-3.25,2.25,2.91,0.96,194.56,33.0,3.11,95.7,1
29.76,78.68,2020,2,15,13.48,20.45,8.68,0.9,1.89,4.59,0.21,171.25,44.69,4.76,87.37,0
29.76,78.68,2021,2,14,13.48,19.98,10.02,1.66,1.9,3.89,0.41,154.0,46.5,4.94,87.53,0
29.37,79.02,2021,1,27,13.5,22.33,8.05,-2.36,2.79,3.99,2.06,253.0,35.88,3.42,95.63,1
29.37,79.02,2021,2,5,13.52,20.39,9.13,5.99,2.55,3.92,0.66,213.81,63.06,6.1,95.73,0
29.76,78.68,2021,2,10,13.58,20.49,8.87,0.08,2.05,4.35,0.55,145.75,41.56,4.39,87.46,0
29.76,78.68,2020,3,3,13.58,20.22,8.72,4.65,2.05,4.12,0.95,163.75,56.56,6.1,87.36,0
29.76,78.68,2020,3,9,13.6,20.94,7.61,2.57,2.03,4.59,0.2,192.0,49.81,5.37,87.38,0
29.76,78.68,2021,1,9,13.61,21.48,9.71,-0.03,1.81,3.55,0.73,139.44,42.44,4.7,87.6,0
29.37,79.02,2020,2,11,13.62,22.16,7.74,2.23,2.41,3.12,0.95,159.19,48.56,4.7,95.93,0
29.42,79.09,2021,1,11,13.62,22.85,9.3,-3.46,2.18,4.41,0.77,219.5,34.81,3.48,89.31,0
29.76,78.68,2021,2,16,13.63,21.65,7.89,-1.53,2.3,4.48,0.64,150.94,38.06,3.91,87.39,0
29.42,79.09,2019,3,8,13.65,22.31,7.73,2.76,3.06,6.37,1.68,211.5,51.88,5.25,89.38,0
29.42,79.09,2021,1,5,13.7,19.73,9.57,6.01,2.5,3.27,1.37,68.5,61.25,6.59,89.6,0
29.49,78.82,2021,1,16,13.73,23.32,8.33,-1.74,2.83,4.69,1.7,221.0,37.44,3.54,95.24,1
29.42,79.09,2020,2,28,13.73,20.1,9.05,9.12,1.98,3.28,1.09,114.44,75.88,8.12,89.47,0
29.37,79.02,2021,2,6,13.74,22.18,8.19,2.44,2.91,4.56,1.59,222.06,50.69,4.76,95.72,1
29.42,79.09,2020,2,18,13.74,23.33,6.69,-1.07,2.55,4.93,1.01,151.0,38.75,4.03,89.37,0
29.42,79.09,2021,2,8,13.75,22.98,7.53,-1.28,2.2,3.98,0.54,187.81,38.19,3.91,89.5,0
29.42,79.09,2020,3,5,13.75,19.3,8.9,7.19,3.0,5.05,1.8,85.56,66.31,7.2,89.22,0
29.76,78.68,2021,2,15,13.76,21.54,8.93,-0.0,2.43,5.42,0.48,175.5,41.62,4.39,87.42,0
29.76,78.68,2021,2,11,13.78,22.17,7.4,-0.61,2.33,4.55,0.5,182.75,39.81,4.21,87.47,0
29.76,78.68,2019,3,13,13.78,16.76,11.4,4.82,1.34,3.41,0.42,147.25,55.25,6.16,87.77,0
29.37,79.02,2021,1,31,13.79,22.31,7.94,-3.09,2.5,4.0,0.98,161.81,33.25,3.17,95.68,0
29.76,78.68,2021,2,9,13.8,21.16,8.19,0.47,1.87,5.23,0.16,187.38,42.25,4.58,87.53,0
29.42,79.09,2020,2,16,13.83,22.53,7.95,1.26,2.17,3.51,1.45,140.44,44.69,4.7,89.55,0
29.76,78.68,2019,3,14,13.83,21.39,7.78,4.9,2.49,3.16,1.63,139.19,58.75,6.23,87.83,0
29.42,79.09,2021,2,3,13.85,21.83,7.51,-2.08,2.3,4.3,0.71,129.5,35.25,3.72,89.65,1
29.37,79.02,2021,1,22,13.88,22.2,6.7,-1.93,2.38,3.56,0.96,114.5,35.69,3.48,95.48,0
29.76,78.68,2019,3,11,13.9,22.26,6.04,2.82,2.79,4.37,1.2,137.5,51.5,5.49,87.71,0
29.42,79.09,2021,1,7,13.93,22.8,9.31,1.62,2.14,3.3,1.35,132.5,47.5,5.0,89.32,0
29.76,78.68,2020,3,12,13.98,20.11,9.01,9.14,4.09,6.99,2.5,114.62,75.62,8.36,87.54,0
29.76,78.68,2020,3,4,14.01,20.42,8.76,4.24,2.02,3.98,0.36,130.5,53.38,5.98,87.35,0
29.76,78.68,2021,2,20,14.02,22.15,7.81,2.16,2.53,5.44,0.18,168.81,47.38,5.13,87.86,0
29.42,79.09,2020,3,16,14.05,21.99,7.19,5.8,2.38,3.95,1.23,195.62,60.62,6.53,89.5,0
29.42,79.09,2020,3,10,14.05,20.8,8.93,5.88,2.39,3.65,1.21,105.12,60.25,6.59,89.24,0
29.42,79.09,2020,3,11,14.05,20.15,9.3,8.6,3.45,6.05,2.04,104.69,72.44,7.93,89.19,0
29.42,79.09,2021,1,4,14.06,19.83,10.04,6.11,2.39,3.32,1.41,82.81,60.0,6.59,89.65,0
29.42,79.09,2021,1,1,14.1,21.15,10.06,-7.2,1.96,4.02,0.63,120.25,23.25,2.5,89.56,0
29.76,78.68,2020,2,20,14.11,21.43,8.81,2.12,2.55,3.86,1.31,119.12,47.19,5.13,87.67,0
29.42,79.09,2021,1,8,14.14,21.53,10.35,-2.35,1.65,3.02,0.38,199.12,34.0,3.72,89.35,0
29.42,79.09,2020,3,2,14.14,21.51,8.16,6.37,2.55,4.29,0.9,198.31,62.25,6.77,89.32,0
29.42,79.09,2021,2,19,14.16,22.35,7.94,0.17,2.61,5.33,0.41,175.75,41.5,4.33,89.69,0
29.42,79.09,2019,3,9,14.19,22.57,7.89,3.27,3.69,6.34,2.38,231.19,51.44,5.43,89.32,0
29.42,79.09,2020,2,15,14.21,23.06,8.4,2.61,2.23,3.74,0.72,178.94,49.38,5.25,89.17,0
29.42,79.09,2021,1,3,14.21,19.47,10.83,6.49,1.73,2.79,0.33,61.38,61.0,6.9,89.53,0
29.76,78.68,2021,2,12,14.21,21.09,10.08,0.9,1.98,4.77,0.25,155.75,42.12,4.7,87.54,0
29.76,78.68,2020,3,17,14.21,20.9,8.69,6.73,2.08,4.48,0.88,191.31,63.06,7.08,87.72,0
29.37,79.02,2020,2,21,14.23,19.54,11.09,9.04,4.45,7.38,1.81,84.69,71.88,7.51,95.89,0
29.37,79.02,2021,2,1,14.26,23.12,8.44,-2.38,3.52,6.35,1.96,156.5,33.88,3.36,95.83,1
29.42,79.09,2021,2,14,14.26,21.94,9.87,0.94,2.15,3.65,0.44,160.38,42.88,4.58,89.37,0
29.76,78.68,2021,2,13,14.29,21.42,10.67,1.26,1.74,4.33,0.23,165.31,43.19,4.82,87.57,0
29.42,79.09,2020,3,3,14.3,21.5,8.53,5.83,2.31,3.66,1.12,233.81,59.19,6.53,89.21,0
29.76,78.68,2021,2,18,14.35,21.48,9.97,-0.01,2.02,4.66,0.35,155.5,39.38,4.39,87.72,0
29.42,79.09,2020,3,1,14.36,19.85,9.19,8.02,1.95,3.6,0.98,191.31,67.81,7.57,89.38,0
29.4,78.92,2021,2,7,14.39,23.45,7.8,2.03,2.61,4.19,1.34,144.12,46.69,4.64,95.66,1
29.37,79.02,2021,1,18,14.43,21.0,10.15,-1.17,2.3,2.81,1.27,138.81,35.5,3.72,95.65,0
29.76,78.68,2020,2,14,14.44,21.49,8.75,5.12,2.73,5.59,0.49,220.88,56.06,6.35,87.32,0
29.37,79.02,2019,3,1,14.45,22.88,6.68,1.33,2.47,3.96,0.35,150.06,44.5,4.39,95.56,0
29.42,79.09,2021,1,10,14.47,24.55,9.26,-0.86,2.48,4.14,1.6,312.81,40.0,4.27,89.32,0
29.42,79.09,2020,2,20,14.5,22.12,9.75,3.75,2.82,4.02,1.93,101.0,51.12,5.62,89.57,0
29.42,79.09,2021,2,17,14.52,22.7,8.57,-1.71,2.27,3.53,0.52,144.19,34.88,3.78,89.37,0
29.37,79.02,2021,1,24,14.55,22.07,9.81,0.9,2.34,3.48,0.45,135.56,41.25,4.27,95.52,0
29.42,79.09,2021,2,11,14.55,23.63,7.69,-1.08,2.59,4.34,0.58,161.0,37.62,3.97,89.3,0
29.42,79.09,2021,2,20,14.57,23.91,7.55,1.51,2.82,4.92,1.84,188.0,44.62,4.76,89.67,0
29.42,79.09,2020,3,9,14.58,23.17,6.72,3.86,2.42,4.35,0.52,194.25,52.0,5.8,89.2,0
29.42,79.09,2019,3,10,14.62,22.83,7.16,1.58,2.68,4.24,0.44,121.0,44.19,4.82,89.37,0
29.42,79.09,2020,3,13,14.64,18.57,11.3,11.28,3.2,6.04,0.74,129.69,81.75,9.4,89.46,0
29.76,78.68,2019,3,12,14.65,21.78,8.63,6.16,2.84,4.2,1.2,161.81,59.81,6.77,87.72,0
29.42,79.09,2020,3,4,14.77,21.73,8.54,5.3,2.12,3.28,0.37,115.75,55.69,6.29,89.22,0
29.42,79.09,2021,2,16,14.8,23.36,8.38,-1.96,2.61,4.46,0.95,157.12,34.75,3.72,89.26,0
29.76,78.68,2020,3,19,14.81,20.34,10.51,7.22,2.02,3.48,0.91,174.62,61.75,7.32,87.41,0
29.76,78.68,2021,2,21,14.9,22.11,9.59,2.65,2.11,5.16,0.3,183.56,45.5,5.31,87.74,0
29.42,79.09,2021,2,15,14.92,23.65,9.57,0.15,2.84,5.78,0.92,161.31,39.5,4.33,89.26,0
29.76,78.68,2020,3,18,14.92,21.26,9.8,7.27,2.27,4.36,0.69,161.19,62.0,7.39,87.61,0
29.37,79.02,2020,3,7,14.93,19.97,10.74,10.04,3.61,5.16,1.62,111.0,74.06,8.12,95.56,0
29.42,79.09,2021,2,12,14.93,22.45,10.67,1.54,2.23,4.07,0.62,157.56,42.19,4.82,89.37,0
29.42,79.09,2021,1,2,15.02,22.63,9.82,-2.61,1.56,4.58,0.08,195.44,31.56,3.72,89.59,0
29.37,79.02,2021,1,1,15.03,22.62,10.99,-4.56,2.02,3.36,1.29,146.62,26.69,2.87,95.71,0
29.76,78.68,2021,3,1,15.03,22.92,10.45,-3.28,2.68,5.78,0.25,203.75,30.94,3.48,87.5,0
29.51,78.9,2020,2,12,15.04,23.85,9.33,4.46,3.02,5.66,1.72,163.81,51.56,5.55,95.8,1
29.42,79.09,2021,1,9,15.05,23.97,10.58,1.27,2.49,4.22,1.6,242.81,42.31,5.0,89.41,0
29.42,79.09,2020,3,17,15.1,22.73,8.96,6.9,2.37,4.2,1.05,231.25,60.81,7.02,89.57,0
